,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Unemployment
0,2003,BRN,536,532,0,4,6.08058240294222,6.08058240294222,0.0,6.0187457833908296,2.90395547653115,6.10461106430277,1.88828155515106,37.8825205941001,
1,2004,BRN,581,581,0,0,6.774818485530861,6.774818485530861,0.0,6.87698014483037,0.504318252687327,15.886164657530598,1.4380217893431395,36.6115330751906,
2,2005,BRN,399,398,0,1,6.88422046215791,6.88422046215791,0.0,7.00107326477769,0.3875072082320801,18.7663191432748,1.83675498095092,42.3088889783222,
3,2006,BRN,541,539,0,2,6.141481074874541,6.141481074874541,0.0,6.096797549109059,4.39771967752176,10.0477214755424,0.765769354306188,45.5892584015209,
4,2007,BRN,762,761,0,1,6.22478109990936,6.22478109990936,0.0,6.21428770984712,0.15458181174277302,1.12044769381039,2.10354465328511,39.4227440214599,
5,2008,BRN,1829,1819,1,9,5.53568411404623,5.53666044771803,-0.000976333671796,5.474349827342469,-1.93971463784671,12.6927299583618,1.5436880440439902,48.2099198431507,
6,2009,BRN,2980,2960,0,20,6.06389661932742,6.06389661932742,0.0,6.091381755503269,-1.76453554132601,-22.091416476352002,3.0336909783197497,37.0597078901685,
7,2010,BRN,3496,3494,0,2,6.52653479628924,6.52653479628924,0.0,6.7830658829011705,2.59896574643226,16.688282846399698,3.5070368794784903,36.59493731286421,
8,2011,BRN,6575,6554,0,21,6.26911180957063,6.26911180957063,0.0,6.2863975008632895,3.74531835205994,20.1805054151625,3.7309491837843,34.7096739406741,1.7200000286102302
9,2012,BRN,6455,6398,0,57,5.73941959412789,5.73941959412789,0.0,5.2321371305965,0.9128416709644108,1.2216530541679398,4.54054508745042,29.8382372349661,
10,2013,BRN,6930,6790,0,140,2.92838252480067,2.92838252480067,0.0,2.69323614927927,-2.12602851740175,-2.82415369383664,4.2867762235963305,20.881355362978198,
11,2014,BRN,7298,7116,78,104,2.45438661936741,2.48235576609817,-0.027969146730752,2.16869869689294,-2.349746749517,-2.00588055506435,3.32131448333108,30.7082045349756,6.96509981155396
12,2015,BRN,13770,5254,8245,271,-0.558702336327902,1.03820600567057,-1.59690834199848,-1.1923385844793501,-0.566814608844453,-17.4682752333897,1.32470174845995,16.6789167866155,
13,2016,BRN,22650,6388,15856,406,-1.15435270233022,0.683751545637479,-1.8381042479677099,-1.63786245283518,-2.46551470989569,-9.181007995387633,-1.32054553923561,15.4937993642372,
14,2017,BRN,10625,3823,6589,213,-0.5889048224799069,0.9874533915277359,-1.57635821400764,-1.02598650744939,1.32875139470671,4.955242910297669,3.85821336119305,,9.315999984741213
15,2003,IDN,62939,62659,0,280,4.431049590226361,4.431049590226361,0.0,4.52478610424032,4.780369121676539,5.4874291379014695,-0.254256320381005,3.45304287667862,6.65749979019165
16,2004,IDN,40991,40829,0,162,4.74245590054204,4.74245590054204,0.0,4.75086767470916,5.0308739450168485,8.55072703186366,0.738243979887563,0.60856132991737,7.302800178527829
17,2005,IDN,38391,38108,42,241,4.97385392081929,4.97817464367055,-0.004320722851255,4.91479095851312,5.69257130383384,14.3317870842712,2.91611484304662,0.0970882465692074,7.944799900054929
18,2006,IDN,44125,43917,6,202,5.036514288270499,5.0371076244729505,-0.000593336202454,5.01332398803791,5.5009517852034815,14.087424416793,1.34794264554579,2.9787086908709703,7.55060005187988
19,2007,IDN,72942,72689,6,247,4.94297306474385,4.94338455339541,-0.00041148865156199994,4.93674827112883,6.345022226672139,11.258578530896802,1.6030105718879,2.4272641269679203,8.06019973754883
20,2008,IDN,66756,66519,10,227,5.000382324930429,5.0006264075388,-0.00024408260836200003,5.0320273168344904,6.013703600091231,18.1497512494668,1.82632902403999,0.0246933252771077,7.208499908447268
21,2009,IDN,131636,131042,0,594,4.9522736249768,4.9522736249768,0.0,4.77197399715051,4.62887118256154,8.274752431729171,0.903919419654062,1.9697705622352,6.105899810791018
22,2010,IDN,125993,125258,0,735,5.00105938841977,5.00105938841977,0.0,4.81172245532509,6.22385418062366,15.264293657644998,2.0251791383417697,0.6812772843751711,5.61350011825562
23,2011,IDN,154097,153062,0,1035,5.0949744853446,5.0949744853446,0.0,4.8831850143184194,6.16978420771008,7.46594303367513,2.30298428515062,0.18870395330258,5.15320014953613
24,2012,IDN,151878,150025,0,1853,4.78058648863793,4.78058648863793,0.0,4.61442878510392,6.03005065305612,3.75387875323653,2.3097803266511003,-2.6602736040667003,4.46820020675659
25,2013,IDN,67649,65004,0,2645,2.3825389446268304,2.3825389446268304,0.0,2.2939927288489703,5.5572636889101314,4.9659902913167695,2.5513563340105803,-3.18996482895809,4.33580017089844
26,2014,IDN,53724,51385,643,1696,2.2359371488282203,2.2801821780869402,-0.044245029258718,2.01386022545826,5.0066684257550005,5.44317454935612,2.81997260507169,-3.0881690763002903,4.04860019683838
27,2015,IDN,88091,31819,54385,1887,-1.75650621455374,0.7914738286120379,-2.5479800431657997,-2.87591233037882,4.87632230022122,3.98024266013965,2.2976163874552302,-2.03504192183611,4.513999938964839
28,2016,IDN,81290,24027,55617,1646,-2.3776764439161098,0.663169138568451,-3.04084558248455,-3.9628303394905195,5.0332795915301,2.4803957109250803,0.487174266144051,-1.81841107803349,4.30070018768311
29,2017,IDN,68635,23152,43968,1515,-1.9240947404328799,0.797406298493278,-2.72150103892613,-3.13654341594221,5.06768027408975,4.24446429147216,2.1136119192563303,-1.70282395869659,4.1848001480102495
30,2003,KHM,5831,5814,0,17,5.73178566507748,5.73178566507748,0.0,5.8951850449666,8.50589555707633,1.79751759635865,1.75131657873445,-5.01128423995143,
31,2004,KHM,3263,3254,0,9,6.07335590768057,6.07335590768057,0.0,6.296756795759809,10.340528776847,4.82373796288856,2.46197704527502,-3.42672850671081,
32,2005,KHM,2248,2237,3,8,5.34325593803771,5.34856741068853,-0.00531147265082,5.421198122393109,13.250086913643598,6.07667882538105,5.993602794269731,-4.87829680780284,
33,2006,KHM,3397,3381,2,14,5.9704831195964,5.971241208255679,-0.00075808865928,5.897019460654191,10.7710836701771,4.63110939852638,6.642422509743531,-3.21486673197534,
34,2007,KHM,5006,4985,8,13,5.33959428109128,5.34369379832563,-0.004099517234347,4.954167112812059,10.2125739126309,6.51803350612749,10.038949676648901,-4.90008500218002,0.870000004768372
35,2008,KHM,9008,8967,3,38,4.720837921550429,4.72227506824355,-0.0014371466931220002,4.60332761318432,6.6915774747107815,12.2537866069761,7.87468105532321,-7.921003111384,
36,2009,KHM,18090,18040,0,50,5.082723214186821,5.082723214186821,0.0,4.81481906190567,0.0866969592705971,2.5043846622159,8.9252724484283,-7.12772040217514,0.189999997615814
37,2010,KHM,13922,13884,0,38,5.27181310276118,5.27181310276118,0.0,5.100069346453321,5.963078575386961,3.1205928696397205,11.938522004341301,-4.78709423859793,0.349999994039536
38,2011,KHM,21785,21683,0,102,4.5237996166761905,4.5237996166761905,0.0,4.10879434433679,7.0695699458918,3.36406624988356,10.697807672464199,-5.96261962571391,0.200000002980232
39,2012,KHM,16666,16549,0,117,4.84695020427675,4.84695020427675,0.0,4.33474034547195,7.31334550530008,1.44051812730616,13.0579536737909,-8.19227914600564,
