,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Tax Revenune,AvgTone_Norm
15,2003,IDN,62939,62659,0,280,4.431049590226361,4.45085031933572,4.45085031933572,4.52478610424032,4.780369121676539,5.4874291379014695,-0.254256320381005,3.45304287667862,12.3855320643093,-1.0247492094568207
16,2004,IDN,40991,40829,0,162,4.74245590054204,4.761272865343719,4.761272865343719,4.75086767470916,5.0308739450168485,8.55072703186366,0.738243979887563,0.60856132991737,12.3307678952353,-0.8744083049101592
17,2005,IDN,38391,38108,42,241,4.97385392081929,5.00527459696392,5.015143873862599,4.91479095851312,5.69257130383384,14.3317870842712,2.91611484304662,0.0970882465692074,,-0.4715205867480794
18,2006,IDN,44125,43917,6,202,5.036514288270499,5.059677002252481,5.0609644085404,5.01332398803791,5.5009517852034815,14.087424416793,1.34794264554579,2.9787086908709703,,-0.6725534122901617
19,2007,IDN,72942,72689,6,247,4.94297306474385,4.95976808980736,4.96059040699099,4.93674827112883,6.345022226672139,11.258578530896802,1.6030105718879,2.4272641269679203,,-0.5110346389874394
20,2008,IDN,66756,66519,10,227,5.000382324930429,5.01744385881429,5.01844309838783,5.0320273168344904,6.013703600091231,18.1497512494668,1.82632902403999,0.0246933252771077,13.310617826949,-0.3394337119944133
21,2009,IDN,131636,131042,0,594,4.9522736249768,4.974721775441809,4.974721775441809,4.77197399715051,4.62887118256154,8.274752431729171,0.903919419654062,1.9697705622352,11.057786518884802,-0.49740448855835684
22,2010,IDN,125993,125258,0,735,5.00105938841977,5.03040504818193,5.03040504818193,4.81172245532509,6.22385418062366,15.264293657644998,2.0251791383417697,0.6812772843751711,10.5374850612964,-0.7157435696828083
23,2011,IDN,154097,153062,0,1035,5.0949744853446,5.12942652825748,5.12942652825748,4.8831850143184194,6.16978420771008,7.46594303367513,2.30298428515062,0.18870395330258,11.158127850744501,-0.48976548018058974
24,2012,IDN,151878,150025,0,1853,4.78058648863793,4.83963282600468,4.83963282600468,4.61442878510392,6.03005065305612,3.75387875323653,2.3097803266511003,-2.6602736040667003,11.3805899447921,-0.4639988690538228
25,2013,IDN,67649,65004,0,2645,2.3825389446268304,2.47948398660176,2.47948398660176,2.2939927288489703,5.5572636889101314,4.9659902913167695,2.5513563340105803,-3.18996482895809,11.2853014633987,-0.28004317228053077
26,2014,IDN,53724,51385,643,1696,2.2359371488282203,2.30882385222663,2.3839740651073797,2.01386022545826,5.0066684257550005,5.44317454935612,2.81997260507169,-3.0881690763002903,10.8355237532905,-0.20105974075669586
27,2015,IDN,88091,31819,54385,1887,-1.75650621455374,-1.7949560222988898,2.19119774462626,-2.87591233037882,4.87632230022122,3.98024266013965,2.2976163874552302,-2.03504192183611,10.7534877772096,-0.7590811006636331
