,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,BRN,536,532.0,0.0,4.0,6.080582402942218,6.080582402942218,0.0,6.0187457833908296
1,2004,BRN,581,581.0,0.0,0.0,6.774818485530861,6.774818485530861,0.0,6.876980144830369
2,2005,BRN,399,398.0,0.0,1.0,6.884220462157909,6.884220462157909,0.0,7.001073264777689
3,2006,BRN,541,539.0,0.0,2.0,6.141481074874539,6.141481074874539,0.0,6.096797549109063
4,2007,BRN,762,761.0,0.0,1.0,6.224781099909358,6.224781099909358,0.0,6.214287709847116
5,2008,BRN,1829,1819.0,1.0,9.0,5.535684114046231,5.536660447718028,-0.0009763336717956752,5.4743498273424684
6,2009,BRN,2980,2960.0,0.0,20.0,6.063896619327423,6.063896619327423,0.0,6.091381755503273
7,2010,BRN,3496,3494.0,0.0,2.0,6.526534796289242,6.526534796289242,0.0,6.783065882901172
8,2011,BRN,6575,6554.0,0.0,21.0,6.2691118095706315,6.2691118095706315,0.0,6.286397500863288
9,2012,BRN,6455,6398.0,0.0,57.0,5.739419594127893,5.739419594127893,0.0,5.232137130596501
10,2013,BRN,6930,6790.0,0.0,140.0,2.9283825248006723,2.9283825248006723,0.0,2.6932361492792696
11,2014,BRN,7298,7116.0,78.0,104.0,2.454386619367415,2.4823557660981685,-0.027969146730751814,2.1686986968929367
12,2015,BRN,13770,5254.0,8245.0,271.0,-0.5587023363279019,1.0382060056705653,-1.5969083419984775,-1.1923385844793468
13,2016,BRN,22650,6388.0,15856.0,406.0,-1.154352702330216,0.6837515456374793,-1.8381042479677119,-1.637862452835184
14,2017,BRN,10625,3823.0,6589.0,213.0,-0.5889048224799067,0.9874533915277361,-1.5763582140076444,-1.025986507449385
