,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,IDN,62939,62659.0,0.0,280.0,4.4310495902263565,4.4310495902263565,0.0,4.524786104240322
1,2004,IDN,40991,40829.0,0.0,162.0,4.742455900542039,4.742455900542039,0.0,4.750867674709162
2,2005,IDN,38391,38108.0,42.0,241.0,4.973853920819294,4.978174643670546,-0.004320722851255324,4.914790958513124
3,2006,IDN,44125,43917.0,6.0,202.0,5.036514288270496,5.03710762447295,-0.0005933362024540977,5.013323988037908
4,2007,IDN,72942,72689.0,6.0,247.0,4.942973064743846,4.943384553395408,-0.0004114886515624818,4.936748271128835
5,2008,IDN,66756,66519.0,10.0,227.0,5.000382324930435,5.000626407538799,-0.00024408260836230374,5.032027316834485
6,2009,IDN,131636,131042.0,0.0,594.0,4.952273624976798,4.952273624976798,0.0,4.771973997150512
7,2010,IDN,125993,125258.0,0.0,735.0,5.001059388419771,5.001059388419771,0.0,4.811722455325085
8,2011,IDN,154097,153062.0,0.0,1035.0,5.094974485344601,5.094974485344601,0.0,4.883185014318418
9,2012,IDN,151878,150025.0,0.0,1853.0,4.7805864886379315,4.7805864886379315,0.0,4.6144287851039225
10,2013,IDN,67649,65004.0,0.0,2645.0,2.382538944626835,2.382538944626835,0.0,2.293992728848968
11,2014,IDN,53724,51385.0,643.0,1696.0,2.2359371488282216,2.280182178086944,-0.04424502925871741,2.013860225458262
12,2015,IDN,88091,31819.0,54385.0,1887.0,-1.756506214553744,0.7914738286120375,-2.547980043165797,-2.875912330378819
13,2016,IDN,81290,24027.0,55617.0,1646.0,-2.377676443916111,0.6631691385684506,-3.0408455824845464,-3.9628303394905156
14,2017,IDN,68635,23152.0,43968.0,1515.0,-1.9240947404328783,0.7974062984932777,-2.7215010389261307,-3.1365434159422074
