,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,KHM,5831,5814.0,0.0,17.0,5.731785665077478,5.731785665077478,0.0,5.895185044966596
1,2004,KHM,3263,3254.0,0.0,9.0,6.073355907680574,6.073355907680574,0.0,6.296756795759813
2,2005,KHM,2248,2237.0,3.0,8.0,5.343255938037708,5.348567410688528,-0.0053114726508203865,5.421198122393107
3,2006,KHM,3397,3381.0,2.0,14.0,5.970483119596399,5.97124120825568,-0.0007580886592803709,5.897019460654191
4,2007,KHM,5006,4985.0,8.0,13.0,5.33959428109128,5.343693798325628,-0.004099517234346521,4.954167112812059
5,2008,KHM,9008,8967.0,3.0,38.0,4.720837921550428,4.722275068243551,-0.001437146693122159,4.603327613184323
6,2009,KHM,18090,18040.0,0.0,50.0,5.082723214186817,5.082723214186817,0.0,4.814819061905674
7,2010,KHM,13922,13884.0,0.0,38.0,5.271813102761181,5.271813102761181,0.0,5.100069346453317
8,2011,KHM,21785,21683.0,0.0,102.0,4.523799616676186,4.523799616676186,0.0,4.108794344336791
9,2012,KHM,16666,16549.0,0.0,117.0,4.846950204276748,4.846950204276748,0.0,4.334740345471952
10,2013,KHM,14978,14568.0,0.0,410.0,2.865679845433501,2.865679845433501,0.0,2.9066305623535134
11,2014,KHM,19394,18389.0,270.0,735.0,2.374027036169788,2.4394744832741133,-0.06544744710432274,2.1358643023284642
12,2015,KHM,23918,8995.0,14343.0,580.0,-1.7524041515832203,0.9458722497408611,-2.698276401324099,-2.5559012127993284
13,2016,KHM,27221,8763.0,17946.0,512.0,-2.0187945723710805,0.8164330867895205,-2.8352276591605907,-2.9528968888927696
14,2017,KHM,24664,8078.0,16097.0,489.0,-1.9935856247436654,0.8560695135552545,-2.8496551382989104,-3.240648504002372
