,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,LAO,1553,1545.0,0.0,8.0,5.635890441927313,5.635890441927313,0.0,5.674017033580772
1,2004,LAO,1380,1373.0,0.0,7.0,6.39460116254109,6.39460116254109,0.0,6.511338394123104
2,2005,LAO,797,797.0,0.0,0.0,5.7872838510821705,5.7872838510821705,0.0,5.908043843901616
3,2006,LAO,1037,1029.0,1.0,7.0,6.693712937736447,6.695073263972907,-0.001360326236460974,6.769308869980855
4,2007,LAO,1614,1606.0,1.0,7.0,5.6941814062673926,5.698487894895484,-0.004306488628091642,5.507242871226929
5,2008,LAO,1627,1618.0,1.0,8.0,5.714030114604676,5.7140750107441916,-4.4896139515648246e-05,5.539310927844422
6,2009,LAO,5019,4932.0,0.0,87.0,5.644197990720799,5.644197990720799,0.0,5.338090560501066
7,2010,LAO,3968,3954.0,0.0,14.0,6.651223098457362,6.651223098457362,0.0,6.307691895667301
8,2011,LAO,4407,4390.0,0.0,17.0,6.499548101241935,6.499548101241935,0.0,5.536892454466967
9,2012,LAO,4540,4489.0,0.0,51.0,5.457503246121633,5.457503246121633,0.0,4.750488860923293
10,2013,LAO,4255,4156.0,0.0,99.0,2.7455193874378514,2.7455193874378514,0.0,2.353157513685787
11,2014,LAO,3982,3840.0,51.0,91.0,2.79880334366346,2.829211012345442,-0.030407668681984194,2.1864922169902545
12,2015,LAO,5858,3369.0,2337.0,152.0,0.44446215484420865,1.7547580939371001,-1.3102959390928899,-0.31581542125334955
13,2016,LAO,14013,5763.0,7938.0,312.0,-0.642839812873675,1.0957284848619928,-1.7385682977356696,-1.8393215306104898
14,2017,LAO,6849,3848.0,2874.0,127.0,0.4891666454944359,1.8762687588718092,-1.3871021133773807,-0.5181057177815547
