,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,MMR,7227,7225.0,0.0,2.0,6.09385855593652,6.09385855593652,0.0,6.243516370730903
1,2004,MMR,4581,4580.0,0.0,1.0,5.733487898539841,5.733487898539841,0.0,5.772846830558128
2,2005,MMR,3146,3137.0,3.0,6.0,5.356177951274109,5.360748226975377,-0.004570275701267842,5.362774406999695
3,2006,MMR,4084,4075.0,5.0,4.0,5.580182134776977,5.585979040693471,-0.005796905916493977,5.801015932257821
4,2007,MMR,17279,17235.0,6.0,38.0,5.320159798623475,5.321671276944418,-0.001511478320943484,5.218857211244816
5,2008,MMR,16358,16321.0,2.0,35.0,6.020785111964046,6.021199366013337,-0.00041425404929066386,6.163540471898625
6,2009,MMR,31366,31326.0,0.0,40.0,5.258661233342629,5.258661233342629,0.0,5.2027013847816725
7,2010,MMR,19996,19963.0,0.0,33.0,6.065242570641177,6.065242570641177,0.0,6.341489063818756
8,2011,MMR,24054,24007.0,0.0,47.0,5.894682062925157,5.894682062925157,0.0,5.937702574983274
9,2012,MMR,44377,44086.0,0.0,291.0,5.630262848458561,5.630262848458561,0.0,5.566930327275817
10,2013,MMR,18308,17963.0,0.0,345.0,2.4889834675293834,2.4889834675293834,0.0,2.34096302957136
11,2014,MMR,15282,14803.0,159.0,320.0,2.3862846002941365,2.43230026295992,-0.04601566266578263,2.3891369215007257
12,2015,MMR,25760,9118.0,16139.0,503.0,-1.7906047562402059,0.7234305767778949,-2.514035333018104,-1.83554412412365
13,2016,MMR,22970,7226.0,15242.0,502.0,-1.8933793790207614,0.6333635069955611,-2.5267428860163297,-2.3847777515717516
14,2017,MMR,28100,5291.0,22468.0,341.0,-3.178805603029758,0.4026655390301317,-3.581471142059896,-4.0291481092095
