,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,MYS,11652,11608.0,0.0,44.0,5.31879482067117,5.31879482067117,0.0,5.374378257040203
1,2004,MYS,8047,8037.0,0.0,10.0,5.153837527737123,5.153837527737123,0.0,5.180834297985135
2,2005,MYS,6488,6452.0,2.0,34.0,5.148643050780944,5.150457859663772,-0.0018148088828286776,5.209641924049131
3,2006,MYS,13929,13885.0,5.0,39.0,5.704738448222373,5.70638713869315,-0.0016486904707774712,5.900318994798247
4,2007,MYS,22808,22760.0,6.0,42.0,5.647768427723901,5.648538701681703,-0.0007702739578017682,5.674972696289765
5,2008,MYS,30928,30865.0,8.0,55.0,5.556123147749995,5.556744749278532,-0.0006216015285366197,5.5620138227693685
6,2009,MYS,58570,58435.0,0.0,135.0,5.567881980501642,5.567881980501642,0.0,5.535606954245298
7,2010,MYS,50317,50174.0,0.0,143.0,5.534440772885214,5.534440772885214,0.0,5.446199275369584
8,2011,MYS,62244,62008.0,0.0,236.0,5.568723550205236,5.568723550205236,0.0,5.3878139589399385
9,2012,MYS,65868,65372.0,0.0,496.0,5.184355395402829,5.184355395402829,0.0,5.068532603155589
10,2013,MYS,80873,78808.0,0.0,2065.0,2.461135494828523,2.461135494828523,0.0,2.41706352617398
11,2014,MYS,118478,113588.0,1833.0,3057.0,2.0611045277355475,2.119165382042359,-0.05806085430682172,1.713049610353918
12,2015,MYS,124911,44217.0,77942.0,2752.0,-1.486241337074421,0.811048698440791,-2.2972900355152017,-2.3405698254267677
13,2016,MYS,110836,32429.0,75843.0,2564.0,-1.805052115993226,0.6246982005594715,-2.4297503165526866,-2.311833322556564
14,2017,MYS,100946,31655.0,67173.0,2118.0,-1.9011228784220908,0.715986727071985,-2.617109605494066,-2.9986810728464977
