,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,PHL,19118,19031.0,0.0,87.0,4.852492065996485,4.852492065996485,0.0,4.893425700475632
1,2004,PHL,12246,12186.0,0.0,60.0,5.060205877131674,5.060205877131674,0.0,5.097151696309471
2,2005,PHL,7930,7868.0,12.0,50.0,4.772405408723161,4.780422825815274,-0.008017417092113111,4.811349695095536
3,2006,PHL,10869,10822.0,10.0,37.0,4.836441760410567,4.838798773692224,-0.0023570132816562914,4.73327649516789
4,2007,PHL,32605,32492.0,7.0,106.0,4.9290076009542,4.929833232084964,-0.0008256311307655258,4.864276121918123
5,2008,PHL,51939,51766.0,7.0,166.0,4.714225176828836,4.714492620878274,-0.0002674440494388122,4.6980049781732705
6,2009,PHL,118034,117737.0,0.0,297.0,4.9791485495957,4.9791485495957,0.0,4.831268652072544
7,2010,PHL,85205,84919.0,0.0,286.0,5.149550306121639,5.149550306121639,0.0,4.929030375488274
8,2011,PHL,108795,108281.0,0.0,514.0,5.200892617453525,5.200892617453525,0.0,4.958092403617673
9,2012,PHL,113163,112397.0,0.0,766.0,4.945432218545916,4.945432218545916,0.0,4.686273455103323
10,2013,PHL,101662,99705.0,0.0,1957.0,2.651794694581874,2.651794694581874,0.0,2.5614645572332746
11,2014,PHL,102437,99310.0,1169.0,1958.0,2.615714036576668,2.6536852316028225,-0.037971195026160066,2.486849551076328
12,2015,PHL,140968,59914.0,78204.0,2850.0,-0.930950777480518,1.0329910144104288,-1.9639417918909134,-1.3017876532722956
13,2016,PHL,179471,53686.0,122415.0,3370.0,-1.9097412789214898,0.6548590626980342,-2.564600341619456,-2.548711243044277
14,2017,PHL,162792,46533.0,113467.0,2792.0,-2.2552874629600073,0.664633595529969,-2.9199210584899857,-3.0562757406128727
