,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,SGP,5272,5257.0,0.0,15.0,5.178416077067324,5.178416077067324,0.0,5.231622455845065
1,2004,SGP,3748,3726.0,0.0,22.0,5.633898368771428,5.633898368771428,0.0,5.669425195572585
2,2005,SGP,3202,3187.0,2.0,13.0,5.638027078868855,5.6390514676030055,-0.0010243887341492397,5.753622074145815
3,2006,SGP,5502,5474.0,6.0,22.0,5.865592585226411,5.868297031773582,-0.0027044465471718704,5.786741707084935
4,2007,SGP,9927,9896.0,6.0,25.0,5.853912592106661,5.856663997516869,-0.0027514054102078743,5.846893867005662
5,2008,SGP,12120,12065.0,6.0,49.0,5.70739658697879,5.709292194528404,-0.0018956075496117267,5.729746352743409
6,2009,SGP,22541,22443.0,0.0,98.0,5.878210413710067,5.878210413710067,0.0,5.707108734733341
7,2010,SGP,20164,20074.0,0.0,90.0,5.772409982982339,5.772409982982339,0.0,4.871157270426638
8,2011,SGP,26774,26643.0,0.0,131.0,5.92857096370192,5.92857096370192,0.0,5.595366952020766
9,2012,SGP,28202,27978.0,0.0,224.0,5.582428334557851,5.582428334557851,0.0,5.260111925841692
10,2013,SGP,28208,27297.0,0.0,911.0,2.737989374300253,2.737989374300253,0.0,2.643139836447637
11,2014,SGP,35281,33871.0,376.0,1034.0,2.6735993697121323,2.7066552242780166,-0.033055854565879485,2.4659862758118156
12,2015,SGP,57780,32926.0,23397.0,1457.0,0.17188042760716113,1.4243174869427155,-1.2524370593355514,-0.36153438302698826
13,2016,SGP,62403,30123.0,30701.0,1579.0,-0.49576667569452443,1.16683462220696,-1.6626012979014957,-1.3306469713742815
14,2017,SGP,49594,24704.0,23702.0,1188.0,-0.40074776588421973,1.2385892104031657,-1.6393369762873822,-1.3587656796231369
