,Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
0,2003,THA,11942,11890.0,0.0,52.0,5.306247077822978,5.306247077822978,0.0,5.352694057337658
1,2004,THA,10262,10184.0,0.0,78.0,4.587294037543482,4.587294037543482,0.0,4.509597810753038
2,2005,THA,8349,8240.0,31.0,78.0,4.587054547747721,4.607773484616756,-0.020718936869036208,3.9144395654008273
3,2006,THA,15061,14823.0,20.0,218.0,4.981584836630377,4.986490288097659,-0.00490545146728147,4.799154883937269
4,2007,THA,23303,22996.0,15.0,292.0,4.835412570224897,4.838051012118753,-0.002638441893855702,4.766607607051673
5,2008,THA,35852,35588.0,12.0,252.0,4.73483473622378,4.736569926221235,-0.0017351899974549696,4.653225246654414
6,2009,THA,55034,54667.0,0.0,367.0,4.942713004547388,4.942713004547388,0.0,4.79840657579647
7,2010,THA,47959,47707.0,0.0,252.0,4.740425530394274,4.740425530394274,0.0,4.5047707388131135
8,2011,THA,65697,65384.0,0.0,313.0,4.820258450108798,4.820258450108798,0.0,4.50185301206283
9,2012,THA,51508,50904.0,0.0,604.0,4.723631080375704,4.723631080375704,0.0,4.376978244620732
10,2013,THA,49144,47050.0,0.0,2094.0,2.51004034025331,2.51004034025331,0.0,2.363030194698009
11,2014,THA,58753,55967.0,803.0,1983.0,2.211802350385328,2.2804080836645997,-0.06860573327926345,1.89686799917419
12,2015,THA,72843,25821.0,45549.0,1473.0,-2.0764261691983505,0.8907625550262783,-2.967188724224615,-3.7216598494448307
13,2016,THA,69202,24488.0,43192.0,1522.0,-1.7391401710951095,0.8817520537929097,-2.6208922248880304,-2.6451796823012086
14,2017,THA,53456,20018.0,32338.0,1100.0,-1.6216339345170532,0.9573486555195562,-2.578982590036611,-2.6515042655717966
