Year,Country,Total Events,Total +AvgTone,Total -AvgTone,Total Netral AvgTone,AvgTone,+AvgTone,-AvgTone,Weighted AvgTone
2003,BRN,536,532.0,0.0,4.0,6.080582402942218,6.080582402942218,0.0,6.0187457833908296
2004,BRN,581,581.0,0.0,0.0,6.774818485530861,6.774818485530861,0.0,6.876980144830369
2005,BRN,399,398.0,0.0,1.0,6.884220462157909,6.884220462157909,0.0,7.001073264777689
2006,BRN,541,539.0,0.0,2.0,6.141481074874539,6.141481074874539,0.0,6.096797549109063
2007,BRN,762,761.0,0.0,1.0,6.224781099909358,6.224781099909358,0.0,6.214287709847116
2008,BRN,1829,1819.0,1.0,9.0,5.535684114046231,5.536660447718028,-0.0009763336717956752,5.4743498273424684
2009,BRN,2980,2960.0,0.0,20.0,6.063896619327423,6.063896619327423,0.0,6.091381755503273
2010,BRN,3496,3494.0,0.0,2.0,6.526534796289242,6.526534796289242,0.0,6.783065882901172
2011,BRN,6575,6554.0,0.0,21.0,6.2691118095706315,6.2691118095706315,0.0,6.286397500863288
2012,BRN,6455,6398.0,0.0,57.0,5.739419594127893,5.739419594127893,0.0,5.232137130596501
2013,BRN,6930,6790.0,0.0,140.0,2.9283825248006723,2.9283825248006723,0.0,2.6932361492792696
2014,BRN,7298,7116.0,78.0,104.0,2.454386619367415,2.4823557660981685,-0.027969146730751814,2.1686986968929367
2015,BRN,13770,5254.0,8245.0,271.0,-0.5587023363279019,1.0382060056705653,-1.5969083419984775,-1.1923385844793468
2016,BRN,22650,6388.0,15856.0,406.0,-1.154352702330216,0.6837515456374793,-1.8381042479677119,-1.637862452835184
2017,BRN,10625,3823.0,6589.0,213.0,-0.5889048224799067,0.9874533915277361,-1.5763582140076444,-1.025986507449385
2003,KHM,5831,5814.0,0.0,17.0,5.731785665077478,5.731785665077478,0.0,5.895185044966596
2004,KHM,3263,3254.0,0.0,9.0,6.073355907680574,6.073355907680574,0.0,6.296756795759813
2005,KHM,2248,2237.0,3.0,8.0,5.343255938037708,5.348567410688528,-0.0053114726508203865,5.421198122393107
2006,KHM,3397,3381.0,2.0,14.0,5.970483119596399,5.97124120825568,-0.0007580886592803709,5.897019460654191
2007,KHM,5006,4985.0,8.0,13.0,5.33959428109128,5.343693798325628,-0.004099517234346521,4.954167112812059
2008,KHM,9008,8967.0,3.0,38.0,4.720837921550428,4.722275068243551,-0.001437146693122159,4.603327613184323
2009,KHM,18090,18040.0,0.0,50.0,5.082723214186817,5.082723214186817,0.0,4.814819061905674
2010,KHM,13922,13884.0,0.0,38.0,5.271813102761181,5.271813102761181,0.0,5.100069346453317
2011,KHM,21785,21683.0,0.0,102.0,4.523799616676186,4.523799616676186,0.0,4.108794344336791
2012,KHM,16666,16549.0,0.0,117.0,4.846950204276748,4.846950204276748,0.0,4.334740345471952
2013,KHM,14978,14568.0,0.0,410.0,2.865679845433501,2.865679845433501,0.0,2.9066305623535134
2014,KHM,19394,18389.0,270.0,735.0,2.374027036169788,2.4394744832741133,-0.06544744710432274,2.1358643023284642
2015,KHM,23918,8995.0,14343.0,580.0,-1.7524041515832203,0.9458722497408611,-2.698276401324099,-2.5559012127993284
2016,KHM,27221,8763.0,17946.0,512.0,-2.0187945723710805,0.8164330867895205,-2.8352276591605907,-2.9528968888927696
2017,KHM,24664,8078.0,16097.0,489.0,-1.9935856247436654,0.8560695135552545,-2.8496551382989104,-3.240648504002372
