,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,TaxRev,Unemployment,GDP Capita,Export,Import,AvgTone_Norm
0,2003,IDN,62939,62659.0,0.0,280.0,4.4310495902263565,4.450850319335716,4.450850319335716,4.524786104240322,4.780369121676539,5.4874291379014695,-0.254256320381005,3.45304287667862,12.3855320643093,6.65749979019165,3.33742589834391,5.88637986931026,1.5637336556439,-0.586350336130506
1,2004,IDN,40991,40829.0,0.0,162.0,4.74245590054204,4.761272865343718,4.761272865343718,4.750867674709162,5.0308739450168485,8.55072703186366,0.738243979887563,0.60856132991737,12.3307678952353,7.302800178527829,3.58917304568345,13.528330501052801,26.6532944595042,-0.29308244180310883
2,2005,IDN,38391,38108.0,42.0,241.0,4.973853920819294,5.005274596963919,5.015143873862598,4.914790958513124,5.69257130383384,14.3317870842712,2.91611484304662,0.0970882465692074,,7.944799900054929,4.24825828710316,16.6013141881483,17.7689484154521,-0.05014288056870164
3,2006,IDN,44125,43917.0,6.0,202.0,5.036514288270496,5.059677002252479,5.060964408540404,5.013323988037908,5.5009517852034815,14.087424416793,1.34794264554579,2.9787086908709703,,7.55060005187988,4.06628919252448,9.405525678751973,8.582667543626371,-0.24846009548154768
4,2007,IDN,72942,72689.0,6.0,247.0,4.942973064743847,4.959768089807356,4.960590406990987,4.9367482711288355,6.345022226672139,11.258578530896802,1.6030105718879,2.4272641269679203,,8.06019973754883,4.90681494992234,8.54297971549755,9.064258352345519,-0.29884178640685377
5,2008,IDN,66756,66519.0,10.0,227.0,5.000382324930435,5.0174438588142936,5.01844309838783,5.032027316834485,6.013703600091231,18.1497512494668,1.82632902403999,0.0246933252771077,13.310617826949,7.208499908447268,4.59060577410418,9.53346069962357,10.0025672568361,-0.1422100696119326
6,2009,IDN,131636,131042.0,0.0,594.0,4.952273624976797,4.974721775441812,4.974721775441812,4.7719739971505115,4.62887118256154,8.274752431729171,0.903919419654062,1.9697705622352,11.057786518884802,6.105899810791018,3.2381930279716302,-9.69013804966372,-14.9774544546526,-0.3117718896895214
7,2010,IDN,125993,125258.0,0.0,735.0,5.001059388419772,5.0304050481819305,5.0304050481819305,4.811722455325085,6.22385418062366,15.264293657644998,2.0251791383417697,0.6812772843751711,10.5374850612964,5.61350011825562,4.8294401402402505,15.266322410861001,17.3443229786657,-0.23851780774087583
8,2011,IDN,154097,153062.0,0.0,1035.0,5.0949744853446015,5.129426528257484,5.129426528257484,4.883185014318418,6.16978420771008,7.46594303367513,2.30298428515062,0.18870395330258,11.158127850744501,5.15320014953613,4.79424784077575,14.769919243026301,15.0288827139738,-0.22770952801821487
9,2012,IDN,151878,150025.0,0.0,1853.0,4.780586488637932,4.839632826004678,4.839632826004678,4.6144287851039225,6.03005065305612,3.75387875323653,2.3097803266511003,-2.6602736040667003,11.3805899447921,4.46820020675659,4.67711957857549,1.6087487497328,7.99841121699167,-0.26270021486611395
10,2013,IDN,67649,65004.0,0.0,2645.0,2.382538944626835,2.479483986601759,2.479483986601759,2.293992728848968,5.5572636889101314,4.9659902913167695,2.5513563340105803,-3.18996482895809,11.2853014633987,4.33580017089844,4.238372640300399,4.16695751315737,1.8618966623076696,-0.16616082509132424
11,2014,IDN,53724,51385.0,643.0,1696.0,2.2359371488282216,2.3088238522266344,2.3839740651073846,2.013860225458262,5.0066684257550005,5.44317454935612,2.81997260507169,-3.0881690763002903,10.8355237532905,4.04860019683838,3.73124489226815,1.0746395974678902,2.1197023503144,-0.12369433781935779
12,2015,IDN,88091,31819.0,54385.0,1887.0,-1.7565062145537442,-1.7949560222988938,2.191197744626261,-2.875912330378819,4.87632230022122,3.98024266013965,2.2976163874552302,-2.03504192183611,10.7534877772096,4.513999938964839,3.64500367422669,-2.12023972434027,-6.24901105161538,-0.5408574004137698
13,2016,IDN,81290,24027.0,55617.0,1646.0,-2.3776764439161107,-2.4268158069150303,2.2436849908115604,-3.962830339490516,5.0332795915301,2.4803957109250803,0.487174266144051,-1.81841107803349,10.3321451061155,4.30070018768311,3.84530203631144,-1.56782505786558,-2.44610779536534,-0.7122011067920184
14,2017,IDN,68635,23152.0,43968.0,1515.0,-1.9240947404328783,-1.9675244712397288,2.3639418321132566,-3.1365434159422074,5.06768027408975,4.24446429147216,2.1136119192563303,-1.70282395869659,,4.1848001480102495,3.92307260015163,9.090724701636699,8.05638150128254,-0.3035173839896286
15,2003,MYS,11652,11608.0,0.0,44.0,5.31879482067117,5.3389556556220255,5.3389556556220255,5.3743782570402026,5.78849928090706,3.2992024425404503,2.92094209456765,12.142350556034401,15.4956551225138,3.60999989509583,3.68936351465308,5.1338721620793,4.5337707209965705,0.3013948943143072
16,2004,MYS,8047,8037.0,0.0,10.0,5.153837527737123,5.160250166193932,5.160250166193932,5.180834297985134,6.78343773628363,6.0095062279616105,3.50786522068393,12.087748312938096,15.199061700372699,3.5399999618530296,4.72444445164271,16.0582633889377,19.6363586386437,0.11829918539197415
17,2005,MYS,6488,6452.0,2.0,34.0,5.148643050780944,5.175766364032656,5.17919569025086,5.209641924049131,5.33213913924246,8.86235684942822,2.73439312562665,13.9199994956448,14.8263910607125,3.52999997138977,3.34004206157394,8.30190670347962,8.910841260143501,0.12464624939294833
18,2006,MYS,13929,13885.0,5.0,39.0,5.704738448222373,5.720756072375049,5.724470036359876,5.900318994798247,5.5848470688658605,3.98075743636927,4.72720240947838,16.1038501796188,14.516221306572099,3.30870008468628,3.6294392962661295,6.6821575651191605,8.17005955085415,0.4197640644703293
19,2007,MYS,22808,22760.0,6.0,42.0,5.647768427723901,5.658187749254447,5.6604512613337565,5.674972696289765,6.29878592735085,4.881499101826219,4.6868880488533895,15.3812595680627,14.3037228371975,3.3138999938964804,4.373375778743109,4.428579622103482,6.02596435457752,0.4059535765732001
20,2008,MYS,30928,30865.0,8.0,55.0,5.556123147749995,5.566021336235928,5.568086881765316,5.5620138227693685,4.83176989511323,10.3887570212799,3.2807912965275,16.859651814178697,14.662977300874903,3.33960008621216,2.95552920849234,1.57308293177971,2.33921310260735,0.41353075320762755
21,2009,MYS,58570,58435.0,0.0,135.0,5.567881980501641,5.580745231419206,5.580745231419206,5.5356069542452975,-1.51352872655639,-5.9920975424694,0.0566922787314354,15.723000169259699,14.940504408187303,3.6182999610900897,-3.2770703358527005,-10.8784174481774,-12.731445614693,0.30383646583532187
