Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone
2003,IDN,62939,62659.0,0.0,280.0,4.4310495902263565,4.450850319335716,4.450850319335716,4.524786104240322
2004,IDN,40991,40829.0,0.0,162.0,4.742455900542039,4.761272865343719,4.761272865343719,4.750867674709162
2005,IDN,38391,38108.0,42.0,241.0,4.973853920819294,5.005274596963919,5.015143873862599,4.914790958513124
2006,IDN,44125,43917.0,6.0,202.0,5.036514288270496,5.059677002252479,5.0609644085404035,5.013323988037908
2007,IDN,72942,72689.0,6.0,247.0,4.942973064743846,4.959768089807355,4.960590406990987,4.936748271128835
2008,IDN,66756,66519.0,10.0,227.0,5.000382324930435,5.0174438588142936,5.01844309838783,5.032027316834485
2009,IDN,131636,131042.0,0.0,594.0,4.952273624976798,4.974721775441811,4.974721775441811,4.771973997150512
2010,IDN,125993,125258.0,0.0,735.0,5.001059388419771,5.0304050481819305,5.0304050481819305,4.811722455325085
2011,IDN,154097,153062.0,0.0,1035.0,5.094974485344601,5.129426528257484,5.129426528257484,4.883185014318418
2012,IDN,151878,150025.0,0.0,1853.0,4.7805864886379315,4.839632826004678,4.839632826004678,4.6144287851039225
2013,IDN,67649,65004.0,0.0,2645.0,2.382538944626835,2.479483986601759,2.479483986601759,2.293992728848968
2014,IDN,53724,51385.0,643.0,1696.0,2.2359371488282216,2.308823852226635,2.3839740651073846,2.013860225458262
2015,IDN,88091,31819.0,54385.0,1887.0,-1.756506214553744,-1.794956022298894,2.191197744626261,-2.875912330378819
2016,IDN,81290,24027.0,55617.0,1646.0,-2.377676443916111,-2.4268158069150303,2.24368499081156,-3.9628303394905156
2017,IDN,68635,23152.0,43968.0,1515.0,-1.9240947404328783,-1.9675244712397288,2.3639418321132566,-3.1365434159422074
2003,MYS,11652,11608.0,0.0,44.0,5.31879482067117,5.338955655622025,5.338955655622025,5.374378257040203
2004,MYS,8047,8037.0,0.0,10.0,5.153837527737123,5.160250166193931,5.160250166193931,5.180834297985135
2005,MYS,6488,6452.0,2.0,34.0,5.148643050780944,5.175766364032656,5.17919569025086,5.209641924049131
2006,MYS,13929,13885.0,5.0,39.0,5.704738448222373,5.720756072375049,5.724470036359876,5.900318994798247
2007,MYS,22808,22760.0,6.0,42.0,5.647768427723901,5.658187749254447,5.660451261333756,5.674972696289765
2008,MYS,30928,30865.0,8.0,55.0,5.556123147749995,5.566021336235929,5.568086881765315,5.5620138227693685
2009,MYS,58570,58435.0,0.0,135.0,5.567881980501642,5.580745231419205,5.580745231419205,5.535606954245298
2010,MYS,50317,50174.0,0.0,143.0,5.534440772885214,5.5502143813382485,5.5502143813382485,5.446199275369584
2011,MYS,62244,62008.0,0.0,236.0,5.568723550205236,5.589917892190923,5.589917892190923,5.3878139589399385
2012,MYS,65868,65372.0,0.0,496.0,5.184355395402829,5.223690894945749,5.223690894945749,5.068532603155589
2013,MYS,80873,78808.0,0.0,2065.0,2.461135494828523,2.525624440072926,2.525624440072926,2.41706352617398
2014,MYS,118478,113588.0,1833.0,3057.0,2.0611045277355475,2.1156942171446462,2.2103961345706815,1.713049610353918
2015,MYS,124911,44217.0,77942.0,2752.0,-1.486241337074421,-1.5197234068329226,2.291175429607111,-2.3405698254267677
2016,MYS,110836,32429.0,75843.0,2564.0,-1.805052115993226,-1.847797734670323,2.135096665244367,-2.311833322556564
2017,MYS,100946,31655.0,67173.0,2118.0,-1.9011228784220908,-1.9418661723924027,2.283241072532257,-2.9986810728464977
2003,PHL,19118,19031.0,0.0,87.0,4.852492065996485,4.874675178273386,4.874675178273386,4.893425700475632
2004,PHL,12246,12186.0,0.0,60.0,5.060205877131674,5.08512072635438,5.08512072635438,5.097151696309471
2005,PHL,7930,7868.0,12.0,50.0,4.772405408723161,4.802687168930795,4.8180926548951595,4.811349695095536
2006,PHL,10869,10822.0,10.0,37.0,4.836441760410567,4.8529621024651455,4.859813700911179,4.73327649516789
2007,PHL,32605,32492.0,7.0,106.0,4.9290076009542,4.945084243487852,4.946978103290972,4.864276121918123
2008,PHL,51939,51766.0,7.0,166.0,4.714225176828836,4.729340417965211,4.730248275621,4.6980049781732705
2009,PHL,118034,117737.0,0.0,297.0,4.9791485495957,4.991708807791763,4.991708807791763,4.831268652072544
2010,PHL,85205,84919.0,0.0,286.0,5.149550306121639,5.1668935554245135,5.1668935554245135,4.929030375488274
2011,PHL,108795,108281.0,0.0,514.0,5.200892617453525,5.225580778861077,5.225580778861077,4.958092403617673
